unix,player_elo,opp_elo,opp_name,opp_30d,elo_diff,color,player_acc,opp_acc,acc_diff,won,num_reque,time_since_prev,opp_num_reque,opp_time_since_prev
1696463785,1257,1303,UsernameRemovedContactSup,134,-46,True,78.56,75.24,3.3200000000000074,1.0,0,1343,0,68856
1696464428,1266,1192,CerutuKuba,226,74,False,53.45,80.28,-26.83,0.0,1,643,0,4447
1696465574,1256,1285,BotGambit69,69,-29,True,55.34,59.3,-3.9599999999999937,0.0,2,1146,0,8554
1696466410,1249,1262,buoyancy99,277,-13,False,65.54,74.23,-8.689999999999998,0.0,3,836,2,839
1696467345,1241,1229,raphaelpaiva,149,12,False,75.99,89.29,-13.300000000000011,0.0,4,935,0,11634
1696467976,1233,1305,3139,511,-72,True,80.69,76.4,4.289999999999992,1.0,5,631,1,634
1696468569,1243,1251,sekoromakerem,592,-8,False,86.28,74.33,11.950000000000003,1.0,6,593,12,599
1696469407,1251,1356,meinardwirahmanto,395,-105,True,84.34,78.75,5.590000000000003,1.0,7,838,1,847
1696472304,1261,1281,johnmaddenagain,174,-20,False,68.76,74.36,-5.599999999999994,0.0,0,2897,0,19146
1696473477,1253,1250,darkdiver93,163,3,True,57.24,55.3,1.9400000000000048,1.0,1,1173,0,2030
1696473680,1261,1332,jesseamiller,191,-71,True,54.61,73.08,-18.47,0.0,2,203,1,196
1696474762,1255,1209,JMRRa,573,46,False,65.2,72.67,-7.469999999999999,0.0,3,1082,4,1104
1696475684,1246,1239,stubbornwoman,42,7,False,64.39,63.28,1.1099999999999994,1.0,4,922,0,3600
1696476603,1254,1278,Muhamedzaky9,127,-24,True,77.89,84.58,-6.689999999999998,0.0,5,919,0,55309
1696477626,1247,1276,JesusGodandSavior,363,-29,False,78.18,78.18,0.0,1.0,6,1023,0,4502
1696478964,1256,1258,rkhare05,316,-2,False,75.39,76.08,-0.6899999999999977,,0,1338,0,2633
1696480019,1256,1241,TIMOSHA20101967,406,15,True,62.88,58.75,4.130000000000003,1.0,1,1055,1,1019
1696482004,1256,1239,TroyaMors,364,17,True,62.05,80.18,-18.13000000000001,0.0,0,1985,2,219
1696482252,1248,1278,verynicegoodzz,253,-30,True,74.14,84.01,-9.870000000000005,0.0,1,248,0,63940
1696482990,1241,1226,Packsx,80,15,True,76.66,66.61,10.049999999999997,1.0,2,738,0,33293
1696484311,1249,1208,AceP777,158,41,False,70.75,76.89,-6.140000000000001,1.0,0,1321,1,1206
1696527706,1256,1234,jakel201,1,22,False,77.41,67.45,9.959999999999994,1.0,0,43395,0,0
1696529931,1264,1258,reberiversen,76,6,False,82.31,65.66,16.650000000000006,1.0,0,2225,1,626
