unix,player_name,opp_name,player_elo,opp_elo,elo_diff,player_acc,opp_acc,acc_diff,color,x-ma5,x-ma20,opp_x-ma5,opp_x-ma20,won,num_reque,time_since_prev,prev_acc,prev_x-ma5,prev_x-ma20
1696294451,BIG_TONKA_T,guhasay,1157,1148,9,86.96,80.56,6.3999999999999915,True,17.799999999999955,53.049999999999955,2.599999999999909,,1.0,5,988,73.7,17.0,92.79999999999995
1696295430,BIG_TONKA_T,benjaminhorowitz,1165,1189,-24,76.04,70.21,5.8300000000000125,False,17.200000000000045,88.5,2.599999999999909,-16.40000000000009,1.0,6,979,86.96,17.799999999999955,53.049999999999955
1696296994,BIG_TONKA_T,blackrazor33,1174,1204,-30,57.88,51.51,6.3700000000000045,False,17.40000000000009,97.90000000000009,-2.599999999999909,2.599999999999909,1.0,0,1564,76.04,17.200000000000045,88.5
1696298590,BIG_TONKA_T,Kegzen,1183,1157,26,80.8,70.01,10.789999999999992,False,17.59999999999991,45.200000000000045,-5.2000000000000455,-14.700000000000045,1.0,0,1596,57.88,17.40000000000009,97.90000000000009
1696301357,BIG_TONKA_T,Reza_Amiri_89,1190,1185,5,49.4,59.06,-9.660000000000004,True,16.200000000000045,67.54999999999995,-13.799999999999955,-12.75,0.0,0,2767,80.8,17.59999999999991,45.200000000000045
1696302264,BIG_TONKA_T,iceberg1992,1182,1154,28,62.61,56.6,6.009999999999998,False,3.2000000000000455,30.90000000000009,5.2000000000000455,-4.400000000000091,1.0,1,907,49.4,16.200000000000045,67.54999999999995
1696304678,BIG_TONKA_T,haduyenquanghuy,1189,1159,30,67.87,82.12,-14.25,False,5.400000000000091,29.549999999999955,-1.0,0.5,0.0,0,2414,62.61,3.2000000000000455,30.90000000000009
1696305292,BIG_TONKA_T,sumitacharya,1180,1215,-35,75.1,64.67,10.429999999999993,True,-4.7999999999999545,79.70000000000005,16.40000000000009,37.90000000000009,1.0,1,614,67.87,5.400000000000091,29.549999999999955
1696306957,BIG_TONKA_T,AmardeepMatharu,1189,1230,-41,70.37,72.63,-2.259999999999991,True,3.0,88.84999999999991,-14.400000000000091,-16.90000000000009,0.0,0,1665,75.1,-4.7999999999999545,79.70000000000005
1696307380,BIG_TONKA_T,Emiliti,1182,1220,-38,68.25,60.22,8.030000000000001,True,-2.400000000000091,73.75,2.7999999999999545,-0.2999999999999545,1.0,1,423,70.37,3.0,88.84999999999991
1696308140,BIG_TONKA_T,chesscraa,1191,1188,3,75.83,60.41,15.420000000000002,False,4.7999999999999545,36.65000000000009,-7.599999999999909,-14.75,1.0,2,760,68.25,-2.400000000000091,73.75
1696311460,BIG_TONKA_T,Tanti_lingga_lestari,1199,1201,-2,70.88,64.39,6.489999999999995,True,10.799999999999955,44.549999999999955,-0.20000000000004547,9.049999999999955,1.0,0,3320,75.83,4.7999999999999545,36.65000000000009
1696446628,BIG_TONKA_T,Spoonyboi,1207,1215,-8,76.0,76.92,-0.9200000000000017,True,13.400000000000091,52.59999999999991,4.599999999999909,12.700000000000045,0.0,0,135168,70.88,10.799999999999955,44.549999999999955
1696446959,BIG_TONKA_T,choefer310,1199,1213,-14,47.88,62.93,-15.049999999999997,False,3.400000000000091,45.5,-15.400000000000091,-19.15000000000009,0.0,1,331,76.0,13.400000000000091,52.59999999999991
1696448145,BIG_TONKA_T,Relistopic25,1191,1213,-22,58.72,53.24,5.479999999999997,False,-6.400000000000091,41.34999999999991,8.0,19.15000000000009,,2,1186,47.88,3.400000000000091,45.5
1696448776,BIG_TONKA_T,chessman1717,1192,1234,-42,71.58,80.96,-9.379999999999995,False,-5.599999999999909,58.549999999999955,10.0,23.299999999999955,0.0,3,631,58.72,-6.400000000000091,41.34999999999991
1696449419,BIG_TONKA_T,nameNotFound123,1185,1153,32,54.15,66.11,-11.96,True,-9.799999999999955,-25.59999999999991,-12.200000000000045,-32.799999999999955,0.0,4,643,71.58,-5.599999999999909,58.549999999999955
1696450349,BIG_TONKA_T,Diegoaguia,1176,1167,9,79.33,75.87,3.4599999999999937,False,-12.599999999999909,-13.900000000000091,6.0,33.84999999999991,1.0,5,930,54.15,-9.799999999999955,-25.59999999999991
1696451173,BIG_TONKA_T,LeChiffre2002,1184,1224,-40,67.96,73.71,-5.75,False,-1.599999999999909,40.84999999999991,-13.200000000000045,-16.59999999999991,0.0,6,824,79.33,-12.599999999999909,-13.900000000000091
1696452107,BIG_TONKA_T,BlackPearl75,1177,1173,4,75.63,82.48,-6.8500000000000085,True,-5.7999999999999545,-11.599999999999909,35.799999999999955,,0.0,7,934,67.96,-1.599999999999909,40.84999999999991
1696452412,BIG_TONKA_T,Adr16284,1169,1156,13,72.62,65.85,6.77000000000001,True,-9.200000000000045,-29.200000000000045,13.799999999999955,28.75,1.0,8,305,75.63,-5.7999999999999545,-11.599999999999909
1696453001,BIG_TONKA_T,Spangdaddy5,1183,1236,-53,57.75,41.41,16.340000000000003,False,5.2000000000000455,49.90000000000009,17.799999999999955,23.65000000000009,1.0,9,589,72.62,-9.200000000000045,-29.200000000000045
1696453335,BIG_TONKA_T,fruesch,1192,1233,-41,84.18,60.18,24.000000000000007,True,11.0,46.0,12.400000000000091,13.5,1.0,10,334,57.75,5.2000000000000455,49.90000000000009
1696453602,BIG_TONKA_T,nawzam,1201,1236,-35,81.38,63.57,17.809999999999995,False,16.59999999999991,48.09999999999991,-9.0,9.25,1.0,11,267,84.18,11.0,46.0
1696454834,BIG_TONKA_T,Littlebeanz,1210,1258,-48,64.26,66.46,-2.1999999999999886,True,19.0,69.09999999999991,-0.599999999999909,-5.0499999999999545,,12,1232,81.38,16.59999999999991,48.09999999999991
1696455011,BIG_TONKA_T,Munguba,1211,1180,31,86.52,73.25,13.269999999999996,False,11.599999999999909,-10.349999999999909,-9.0,-10.650000000000091,1.0,13,177,64.26,19.0,69.09999999999991
1696455976,BIG_TONKA_T,WOWELIII,1218,1234,-16,74.78,83.92,-9.14,True,11.599999999999909,42.200000000000045,-8.599999999999909,-25.09999999999991,0.0,14,965,86.52,11.599999999999909,-10.349999999999909
1696456868,BIG_TONKA_T,ABorrasB,1210,1152,58,69.33,55.34,13.989999999999995,True,0.0,-41.299999999999955,6.2000000000000455,4.650000000000091,1.0,15,892,74.78,11.599999999999909,42.200000000000045
1696457893,BIG_TONKA_T,savdog,1217,1210,7,75.27,86.77,-11.5,False,3.7999999999999545,15.299999999999955,-10.599999999999909,-9.150000000000091,1.0,16,1025,69.33,0.0,-41.299999999999955
1696458919,BIG_TONKA_T,vmval1,1225,1218,7,76.1,62.91,13.189999999999998,True,8.799999999999955,21.15000000000009,12.0,37.75,1.0,17,1026,75.27,3.7999999999999545,15.299999999999955
1696459532,BIG_TONKA_T,greenglory4,1233,1263,-30,85.03,79.34,5.689999999999998,False,12.400000000000091,64.04999999999995,2.0,12.950000000000045,1.0,18,613,76.1,8.799999999999955,21.15000000000009
1696460732,BIG_TONKA_T,klaussy,1242,1256,-14,72.45,63.48,8.970000000000006,True,16.59999999999991,54.90000000000009,-0.40000000000009095,8.599999999999909,1.0,19,1200,85.03,12.400000000000091,64.04999999999995
1696462442,BIG_TONKA_T,badasheretowin,1250,1209,41,77.26,74.1,3.160000000000011,False,16.59999999999991,5.75,-10.400000000000091,-20.950000000000045,1.0,0,1710,72.45,16.59999999999991,54.90000000000009
1696463785,BIG_TONKA_T,UsernameRemovedContactSup,1257,1303,-46,78.56,75.24,3.3200000000000074,True,15.599999999999909,96.84999999999991,0.0,17.59999999999991,1.0,0,1343,77.26,16.59999999999991,5.75
1696464428,BIG_TONKA_T,CerutuKuba,1266,1192,74,53.45,80.28,-26.83,False,16.40000000000009,-17.90000000000009,1.7999999999999545,30.700000000000045,0.0,1,643,78.56,15.599999999999909,96.84999999999991
1696465574,BIG_TONKA_T,BotGambit69,1256,1285,-29,55.34,59.3,-3.9599999999999937,True,1.7999999999999545,71.90000000000009,1.599999999999909,-28.049999999999955,0.0,2,1146,53.45,16.40000000000009,-17.90000000000009
1696466410,BIG_TONKA_T,buoyancy99,1249,1262,-13,65.54,74.23,-8.689999999999998,False,-6.599999999999909,45.700000000000045,9.200000000000045,29.84999999999991,0.0,3,836,55.34,1.7999999999999545,71.90000000000009
1696467345,BIG_TONKA_T,raphaelpaiva,1241,1229,12,75.99,89.29,-13.300000000000011,False,-12.799999999999955,9.450000000000045,-0.20000000000004547,10.549999999999955,0.0,4,935,65.54,-6.599999999999909,45.700000000000045
1696467976,BIG_TONKA_T,3139,1233,1305,-72,80.69,76.4,4.289999999999992,True,-16.0,83.0,5.400000000000091,7.25,1.0,5,631,75.99,-12.799999999999955,9.450000000000045
1696468569,BIG_TONKA_T,sekoromakerem,1243,1251,-8,86.28,74.33,11.950000000000003,False,-1.400000000000091,25.700000000000045,-2.0,2.099999999999909,1.0,6,593,80.69,-16.0,83.0
1696469407,BIG_TONKA_T,meinardwirahmanto,1251,1356,-105,84.34,78.75,5.590000000000003,True,7.599999999999909,126.59999999999991,8.200000000000045,19.15000000000009,1.0,7,838,86.28,-1.400000000000091,25.700000000000045
1696472304,BIG_TONKA_T,johnmaddenagain,1261,1281,-20,68.76,74.36,-5.599999999999994,False,15.200000000000045,47.700000000000045,-14.400000000000091,-25.34999999999991,0.0,0,2897,84.34,7.599999999999909,126.59999999999991
1696473477,BIG_TONKA_T,darkdiver93,1253,1250,3,57.24,55.3,1.9400000000000048,True,4.7999999999999545,13.650000000000091,-5.599999999999909,-18.200000000000045,1.0,1,1173,68.76,15.200000000000045,47.700000000000045
1696473680,BIG_TONKA_T,jesseamiller,1261,1332,-71,54.61,73.08,-18.47,True,7.2000000000000455,92.65000000000009,1.400000000000091,-3.2000000000000455,0.0,2,203,57.24,4.7999999999999545,13.650000000000091
